Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Cloners),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Cheque Payee Name is accepting only spaces,RN-227,10283,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 1:18 PM,08/Sep/21 5:59 PM,09/Sep/21 5:05 AM,,,0,"Cheque payee name field is accepting only spaces

Steps to reproduce.

# Go to Affiliate Page
# Click on add button
# Go to the payment section
# Verify the cheque payee field.

Expected Result:
Cheque payee name should have some value other than spaces

Actual Result:
Cheque payee name is accepting only spaces



!image-20210908-131956.png|width=451,height=81!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 1:20 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-131956.png;https://corporateola1516.atlassian.net/secure/attachment/10029/image-20210908-131956.png,,,,,,{},,,,,,,0|i001mf:,,RN Sprint 1,,,,,,,,To Do
SWIFT code length is more than 11 digits,RN-226,10282,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 1:15 PM,08/Sep/21 1:22 PM,08/Sep/21 1:22 PM,,,0,"Swift code length is more than 11
Steps to reproduce.

# Go to Affiliate Page
# Click on add button
# Go to the payment section
# Verify the swift code field.

Expected Result:
Swift code field is must be of 11 characters

Actual Result:
Swift code field is accepting more than 11 characters



!image-20210908-131645.png|width=480,height=63!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 1:16 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-131645.png;https://corporateola1516.atlassian.net/secure/attachment/10028/image-20210908-131645.png,,,,,,{},,,,,,,0|i001m7:,,RN Sprint 1,,,,,,,,To Do
SWIFT code is not mandatory,RN-225,10281,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 1:10 PM,08/Sep/21 1:14 PM,08/Sep/21 1:17 PM,,,0,"SWIFT code is not mandatory

Steps to reproduce

# Go to Affiliate Page
# Click on add button
# Go to the payment section
# Verify the swift code field.

Expected Result:
Swift code field must be mandatory

Actual Result:
Swift code field is not mandatory.

!image-20210908-131217.png|width=698,height=78!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 1:13 PM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-131217.png;https://corporateola1516.atlassian.net/secure/attachment/10027/image-20210908-131217.png,,,,,,{},,,,,,,0|i001lz:,,RN Sprint 1,,,,,,,,To Do
Branch Number field is accepting alphabetic characters,RN-224,10280,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 11:42 AM,08/Sep/21 5:58 PM,08/Sep/21 5:58 PM,,,0,"Branch Number field is accepting alphabetic characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the branch number field

Expected result:
Branch number field should not accept alphabetic characters
5.5

Actual Result:
commission field is accepting special characters
ABCDEFGH

!image-20210908-114711.png|width=797,height=73!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 11:47 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-114711.png;https://corporateola1516.atlassian.net/secure/attachment/10026/image-20210908-114711.png,,,,,,{},,,,,,,0|i001lr:,,RN Sprint 1,,,,,,,,To Do
Branch Number field is accepting special characters,RN-223,10279,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 11:36 AM,08/Sep/21 5:58 PM,08/Sep/21 5:58 PM,,,0,"Branch Number field is accepting special characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the branch number field

Expected result:
Branch Number field should not accept special characters except dot(.)
2231

Actual Result:
Branch Number field is accepting special characters
@#.$$

!image-20210908-113858.png|width=806,height=69!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 11:40 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-113858.png;https://corporateola1516.atlassian.net/secure/attachment/10025/image-20210908-113858.png,,,,,,{},,,,,,,0|i001lj:,,RN Sprint 1,,,,,,,,To Do
Tax field is accepting special characters,RN-222,10278,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,High,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 11:26 AM,08/Sep/21 5:58 PM,08/Sep/21 5:58 PM,,,0,"Tax field is accepting special characters

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the tax field

Expected result:
Tax field should not accept special characters except dot(.)
5.5

Actual Result:
Tax field is accepting special characters
@#.$$

!image-20210908-112948.png|width=806,height=70!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 11:29 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-112948.png;https://corporateola1516.atlassian.net/secure/attachment/10024/image-20210908-112948.png,,,,,,{},,,,,,,0|i001lb:,,RN Sprint 1,,,,,,,,To Do
Commission field is accepting special characters excepts(.),RN-221,10277,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:56 AM,08/Sep/21 11:24 AM,08/Sep/21 1:27 PM,,,0,"Commission field is accepting special characters excepts(.)

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the commission field

Expected result:
commission field should not accept special characters except dot(.)
5.5

Actual Result:
commission field is accepting special characters
@#.$$

!image-20210908-105835.png|width=686,height=70!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:59 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-105835.png;https://corporateola1516.atlassian.net/secure/attachment/10023/image-20210908-105835.png,,,,,,{},,,,,,,0|i001l3:,,RN Sprint 1,,,,,,,,To Do
Commission field is accepting alphabets,RN-220,10276,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:49 AM,08/Sep/21 11:23 AM,08/Sep/21 11:23 AM,,,0,"Commission field is accepting alphabets

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the commission field

Expected result:
commission field should not accept alphabets
5.5

Actual Result:
commission field is accepting alphabets
WE.S

!image-20210908-105124.png|width=750,height=70!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:51 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-105124.png;https://corporateola1516.atlassian.net/secure/attachment/10022/image-20210908-105124.png,,,,,,{},,,,,,,0|i001kv:,,RN Sprint 1,,,,,,,,To Do
Commission is accepting more than one dots(...),RN-219,10275,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:42 AM,08/Sep/21 10:47 AM,08/Sep/21 5:55 PM,,,0,"Commission is accepting more than one dots(...)

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# Go to payment tab
# verify the commission field

Expected result:
commission field should accept proper value
5.5

Actual Result:
commission field is not accepting proper value
5...5.5

!image-20210908-104534.png|width=678,height=78!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:45 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-104534.png;https://corporateola1516.atlassian.net/secure/attachment/10021/image-20210908-104534.png,,,,,,{},,,,,,,0|i001kn:,,RN Sprint 1,,,,,,,,To Do
Postcode is accepting more than 5 or 6 digits,RN-218,10274,Bug,To Do,RN,RETAIL NEW,software,Ananya Ghosal,612ef794b7859000710af1c5,,Medium,,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,Ananya Ghosal,612ef794b7859000710af1c5,08/Sep/21 10:24 AM,08/Sep/21 10:27 AM,08/Sep/21 10:38 AM,,,0,"Postcode is accepting more than 5 or 6 digits

Steps to Reproduce:

# Go to affiliate page
# click on add icon
# verify the post code field

Expected result:
postcode field should accept 5-6 digits
789456 / 78523

Actual Result:
city field is accepting more than 5 - 6 digits
796452131



!image-20210908-102649.png|width=727,height=81!",,Ananya Ghosal,612ef794b7859000710af1c5,,,,,,,,,,,,RN-101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,08/Sep/21 10:27 AM;ug:1426f709-0eb6-4ef6-9193-80072034154a;image-20210908-102649.png;https://corporateola1516.atlassian.net/secure/attachment/10020/image-20210908-102649.png,,,,,,{},,,,,,,0|i001kf:,,RN Sprint 1,,,,,,,,To Do
